unix,date,symbol,open,high,low,close,volume
1709078400000,02-28-2024,BTCUSDT,57037.35000000,64000.00000000,56691.85000000,62432.10000000,118763.46984000
1708992000000,02-27-2024,BTCUSDT,54476.48000000,57588.15000000,54450.13000000,57037.34000000,67194.98562000
1708905600000,02-26-2024,BTCUSDT,51728.85000000,54910.00000000,50901.44000000,54476.47000000,51256.72199000
1708819200000,02-25-2024,BTCUSDT,51568.21000000,51958.55000000,51279.80000000,51728.85000000,18721.63159000
1708732800000,02-24-2024,BTCUSDT,50744.15000000,51698.00000000,50585.00000000,51568.22000000,16560.42110000
1708646400000,02-23-2024,BTCUSDT,51288.42000000,51548.54000000,50521.00000000,50744.15000000,30545.79544000
1708560000000,02-22-2024,BTCUSDT,51849.38000000,52065.78000000,50940.78000000,51288.42000000,35309.44574000
1708473600000,02-21-2024,BTCUSDT,52258.82000000,52366.80000000,50625.00000000,51849.39000000,43079.40049000
1708387200000,02-20-2024,BTCUSDT,51774.74000000,52985.00000000,50760.37000000,52258.82000000,49614.47318000
1708300800000,02-19-2024,BTCUSDT,52137.68000000,52488.77000000,51677.00000000,51774.73000000,29534.99432000
1708214400000,02-18-2024,BTCUSDT,51642.64000000,52377.00000000,51163.28000000,52137.67000000,21992.10363000
1708128000000,02-17-2024,BTCUSDT,52124.10000000,52162.82000000,50625.00000000,51642.64000000,25674.00622000
1708041600000,02-16-2024,BTCUSDT,51880.01000000,52572.08000000,51566.00000000,52124.11000000,37772.25318000
1707955200000,02-15-2024,BTCUSDT,51795.17000000,52816.62000000,51314.00000000,51880.00000000,53816.03055000
1707868800000,02-14-2024,BTCUSDT,49699.60000000,52043.71000000,49225.01000000,51795.17000000,57046.37401000
1707782400000,02-13-2024,BTCUSDT,49917.28000000,50368.61000000,48300.95000000,49699.59000000,55551.56706000
1707696000000,02-12-2024,BTCUSDT,48300.00000000,50334.82000000,47710.01000000,49917.27000000,59009.96705000
1707609600000,02-11-2024,BTCUSDT,47751.08000000,48592.66000000,47557.16000000,48299.99000000,29958.80837000
1707523200000,02-10-2024,BTCUSDT,47132.78000000,48170.00000000,46800.00000000,47751.09000000,24802.35936000
1707436800000,02-09-2024,BTCUSDT,45288.66000000,48200.00000000,45242.12000000,47132.77000000,73503.48100000
1707350400000,02-08-2024,BTCUSDT,44349.60000000,45614.30000000,44331.10000000,45288.65000000,45439.62231000
1707264000000,02-07-2024,BTCUSDT,43098.96000000,44396.50000000,42788.00000000,44349.60000000,34392.59915000
1707177600000,02-06-2024,BTCUSDT,42708.70000000,43399.98000000,42574.00000000,43098.95000000,24675.85433000
